From	Entry	Entry Name
ENSP00000297532	Q14296	FASTK_HUMAN
ENSP00000222803	Q9NWM8	FKB14_HUMAN
ENSP00000347055	P12829	MYL4_HUMAN
ENSP00000378402	Q96ST3	SIN3A_HUMAN
ENSP00000258301	O43752	STX6_HUMAN
ENSP00000232905	O60739	EIF1B_HUMAN
ENSP00000323879	Q8NHG8	ZNRF2_HUMAN
ENSP00000254900	Q9H0E9	BRD8_HUMAN
ENSP00000253055	Q02779	M3K10_HUMAN
ENSP00000466134	K7ELL7	K7ELL7_HUMAN
ENSP00000338864	Q7LDG7	GRP2_HUMAN
ENSP00000311449	P20340	RAB6A_HUMAN
ENSP00000280706	Q6ZMR3	LDH6A_HUMAN
ENSP00000262455	Q9BS26	ERP44_HUMAN
ENSP00000345133	Q6DT37	MRCKG_HUMAN
ENSP00000382250	P82932	RT06_HUMAN
ENSP00000257770	P21589	5NTD_HUMAN
ENSP00000351446	P61964	WDR5_HUMAN
ENSP00000255006	Q8WYP3	RIN2_HUMAN
ENSP00000386248	Q96FG2	ELMD3_HUMAN
ENSP00000381601	P20591	MX1_HUMAN
ENSP00000211998	P18206	VINC_HUMAN
ENSP00000253861	Q96A65	EXOC4_HUMAN
ENSP00000373684	Q9Y2H1	ST38L_HUMAN
ENSP00000305260	P62879	GBB2_HUMAN
ENSP00000216373	Q07890	SOS2_HUMAN
ENSP00000157812	P43686	PRS6B_HUMAN
ENSP00000219479	O00746	NDKD_HUMAN
ENSP00000262584	P62917	RL8_HUMAN
ENSP00000248901	Q9UIA0	CYH4_HUMAN
ENSP00000361177	Q9P2V4	LRIT1_HUMAN
ENSP00000243440	Q9NR55	BATF3_HUMAN
ENSP00000405926	Q9Y3B3	TMED7_HUMAN
ENSP00000481780	A0A087WYG2	A0A087WYG2_HUMAN
ENSP00000419195	Q8NCB2	CAMKV_HUMAN
ENSP00000279387	P60510	PP4C_HUMAN
ENSP00000304604	Q5TCQ9	MAGI3_HUMAN
ENSP00000158762	Q15027	ACAP1_HUMAN
ENSP00000302968	Q9Y6F8	CDY1_HUMAN
ENSP00000291906	Q6P5Z2	PKN3_HUMAN
ENSP00000249647	O00161	SNP23_HUMAN
ENSP00000253686	P82663	RT25_HUMAN
ENSP00000347140	P07307	ASGR2_HUMAN
ENSP00000320866	P27797	CALR_HUMAN
ENSP00000429374	P60866	RS20_HUMAN
ENSP00000346173	P38117	ETFB_HUMAN
ENSP00000367220	P61160	ARP2_HUMAN
ENSP00000265753	Q15056	IF4H_HUMAN
ENSP00000369080	Q9Y4P9	SPEF1_HUMAN
ENSP00000286827	Q13009	TIAM1_HUMAN
ENSP00000357838	P04181	OAT_HUMAN
ENSP00000364298	Q9UIM3	FKBPL_HUMAN
ENSP00000363524	O95239	KIF4A_HUMAN
ENSP00000463842	P18621	RL17_HUMAN
ENSP00000413697	O60784	TOM1_HUMAN
ENSP00000402515	Q96Q15	SMG1_HUMAN
ENSP00000359300	P41208	CETN2_HUMAN
ENSP00000300087	Q9BTE1	DCTN5_HUMAN
ENSP00000389103	P62750	RL23A_HUMAN
ENSP00000401564	F6WQW2	F6WQW2_HUMAN
ENSP00000428714	E9PF32	E9PF32_HUMAN
ENSP00000385432	Q9Y6B6	SAR1B_HUMAN
ENSP00000463559	O14950	ML12B_HUMAN
ENSP00000300651	Q15648	MED1_HUMAN
ENSP00000286719	O14830	PPE2_HUMAN
ENSP00000430344	P51178	PLCD1_HUMAN
ENSP00000359424	O15111	IKKA_HUMAN
ENSP00000386264	Q96Q45	TM237_HUMAN
ENSP00000269051	P58872	RHBL3_HUMAN
ENSP00000357178	P14616	INSRR_HUMAN
ENSP00000358696	P51805	PLXA3_HUMAN
ENSP00000219204	Q9Y2Y0	AR2BP_HUMAN
ENSP00000381876	Q86T65	DAAM2_HUMAN
ENSP00000439020	Q71U36	TBA1A_HUMAN
ENSP00000397441	Q9Y2V7	COG6_HUMAN
ENSP00000360613	P49459	UBE2A_HUMAN
ENSP00000401888	P04049	RAF1_HUMAN
ENSP00000239690	Q96RS6	NUDC1_HUMAN
ENSP00000354451	Q86VI3	IQGA3_HUMAN
ENSP00000237264	P62380	TBPL1_HUMAN
ENSP00000462468	P07947	YES_HUMAN
ENSP00000369784	A6NHL2	TBAL3_HUMAN
ENSP00000357048	P53621	COPA_HUMAN
ENSP00000338844	Q15437	SC23B_HUMAN
ENSP00000317469	Q8NFJ9	BBS1_HUMAN
ENSP00000262942	Q92747	ARC1A_HUMAN
ENSP00000240874	O60229	KALRN_HUMAN
ENSP00000298552	Q92574	TSC1_HUMAN
ENSP00000362566	P84074	HPCA_HUMAN
ENSP00000369810	Q9H269	VPS16_HUMAN
ENSP00000362730	Q9NZJ7	MTCH1_HUMAN
ENSP00000392718	P0CG38	POTEI_HUMAN
ENSP00000413152	Q9Y680	FKBP7_HUMAN
ENSP00000303178	Q9Y6F8	CDY1_HUMAN
ENSP00000236192	O75379	VAMP4_HUMAN
ENSP00000434103	P59190	RAB15_HUMAN
ENSP00000339063	P68104	EF1A1_HUMAN
ENSP00000354947	P47755	CAZA2_HUMAN
ENSP00000370719	Q15811	ITSN1_HUMAN
ENSP00000384675	Q07889	SOS1_HUMAN
ENSP00000349168	P31943	HNRH1_HUMAN
ENSP00000378721	O94979	SC31A_HUMAN
ENSP00000382697	Q13464	ROCK1_HUMAN
ENSP00000347134	Q7Z628	ARHG8_HUMAN
ENSP00000384700	Q9NRJ5	PAPOB_HUMAN
ENSP00000258739	P33947	ERD22_HUMAN
ENSP00000261842	Q9UPM8	AP4E1_HUMAN
ENSP00000295408	Q12866	MERTK_HUMAN
ENSP00000363779	O95163	ELP1_HUMAN
ENSP00000479134	Q68DA7	FMN1_HUMAN
ENSP00000300055	O60240	PLIN1_HUMAN
ENSP00000262305	O75154	RFIP3_HUMAN
ENSP00000365012	P08631	HCK_HUMAN
ENSP00000365012	J3KPD6	J3KPD6_HUMAN
ENSP00000312778	Q9P2H3	IFT80_HUMAN
ENSP00000472985	P46782	RS5_HUMAN
ENSP00000389277	P55061	BI1_HUMAN
ENSP00000298229	O15357	SHIP2_HUMAN
ENSP00000481721	Q9BYX2	TBD2A_HUMAN
ENSP00000259056	Q7Z7M9	GALT5_HUMAN
ENSP00000259808	Q13546	RIPK1_HUMAN
ENSP00000263847	P22059	OSBP1_HUMAN
ENSP00000178640	Q13163	MP2K5_HUMAN
ENSP00000299138	Q96QK1	VPS35_HUMAN
ENSP00000256404	Q96S96	PEBP4_HUMAN
ENSP00000300935	P61006	RAB8A_HUMAN
ENSP00000301037	Q96LW2	KS6R_HUMAN
ENSP00000374484	Q8NBN3	TM87A_HUMAN
ENSP00000392513	Q96P64	AGAP4_HUMAN
ENSP00000220003	P41240	CSK_HUMAN
ENSP00000378769	P62140	PP1B_HUMAN
ENSP00000263354	P54920	SNAA_HUMAN
ENSP00000380334	Q15080	NCF4_HUMAN
ENSP00000361635	P45880	VDAC2_HUMAN
ENSP00000273130	Q9Y6G9	DC1L1_HUMAN
ENSP00000367197	O76038	SEGN_HUMAN
ENSP00000355689	Q16774	KGUA_HUMAN
ENSP00000257904	P11802	CDK4_HUMAN
ENSP00000302886	Q9UQ80	PA2G4_HUMAN
ENSP00000478887	P01106	MYC_HUMAN
ENSP00000348461	P63000	RAC1_HUMAN
ENSP00000272322	Q9P1Q0	VPS54_HUMAN
ENSP00000417378	Q16864	VATF_HUMAN
ENSP00000358997	P51617	IRAK1_HUMAN
ENSP00000313420	P78527	PRKDC_HUMAN
ENSP00000311430	P36578	RL4_HUMAN
ENSP00000387307	Q9H0N0	RAB6C_HUMAN
ENSP00000263657	Q9NRX1	PNO1_HUMAN
ENSP00000380869	Q8WUD1	RAB2B_HUMAN
ENSP00000329419	P35606	COPB2_HUMAN
ENSP00000372023	O96017	CHK2_HUMAN
ENSP00000360108	O75061	AUXI_HUMAN
ENSP00000341071	Q9NR81	ARHG3_HUMAN
ENSP00000383996	Q9Y5P4	CERT_HUMAN
ENSP00000361206	Q9NVS2	RT18A_HUMAN
ENSP00000411471	Q9NUQ8	ABCF3_HUMAN
ENSP00000432660	P23528	COF1_HUMAN
ENSP00000375220	Q96RT6	CTGE2_HUMAN
ENSP00000361298	Q99661	KIF2C_HUMAN
ENSP00000377148	O43747	AP1G1_HUMAN
ENSP00000332791	Q96M94	KLH15_HUMAN
ENSP00000267257	P49023	PAXI_HUMAN
ENSP00000346037	P05386	RLA1_HUMAN
ENSP00000378557	Q9Y4D1	DAAM1_HUMAN
ENSP00000260746	P36405	ARL3_HUMAN
ENSP00000264065	Q8IXB1	DJC10_HUMAN
ENSP00000438388	Q12756	KIF1A_HUMAN
ENSP00000357283	P02545	LMNA_HUMAN
ENSP00000380638	Q14289	FAK2_HUMAN
ENSP00000329471	P24390	ERD21_HUMAN
ENSP00000313007	P11940	PABP1_HUMAN
ENSP00000355428	Q7L8J4	3BP5L_HUMAN
ENSP00000371230	Q9UIJ7	KAD3_HUMAN
ENSP00000271857	X6R3N0	X6R3N0_HUMAN
ENSP00000376345	P62993	GRB2_HUMAN
ENSP00000270142	P00441	SODC_HUMAN
ENSP00000353846	O15075	DCLK1_HUMAN
ENSP00000381098	Q9Y3R0	GRIP1_HUMAN
ENSP00000364555	Q9H568	ACTL8_HUMAN
ENSP00000337261	Q92888	ARHG1_HUMAN
ENSP00000364579	Q5TC63	GRTP1_HUMAN
ENSP00000303507	P11274	BCR_HUMAN
ENSP00000342136	O43889	CREB3_HUMAN
ENSP00000411831	O75037	KI21B_HUMAN
ENSP00000378323	Q08209	PP2BA_HUMAN
ENSP00000275364	Q03113	GNA12_HUMAN
ENSP00000494678	Q9ULP9	TBC24_HUMAN
ENSP00000360793	Q96Q89	KI20B_HUMAN
ENSP00000494750	P60709	ACTB_HUMAN
ENSP00000265709	P16157	ANK1_HUMAN
ENSP00000285873	Q8TEQ6	GEMI5_HUMAN
ENSP00000416097	Q08379	GOGA2_HUMAN
ENSP00000416097	A0A6Q8KRG2	A0A6Q8KRG2_HUMAN
ENSP00000423399	Q9P0J6	RM36_HUMAN
ENSP00000355651	P20338	RAB4A_HUMAN
ENSP00000349016	O75381	PEX14_HUMAN
ENSP00000364449	Q9Y2K2	SIK3_HUMAN
ENSP00000357810	Q6UY18	LIGO4_HUMAN
ENSP00000386786	A5A3E0	POTEF_HUMAN
ENSP00000479816	Q6P3S1	DEN1B_HUMAN
ENSP00000424711	A0PK11	CLRN2_HUMAN
ENSP00000446955	P60660	MYL6_HUMAN
ENSP00000309415	P09497	CLCB_HUMAN
ENSP00000356864	O14880	MGST3_HUMAN
ENSP00000262146	Q15390	MTFR1_HUMAN
ENSP00000298159	Q9Y281	COF2_HUMAN
ENSP00000221114	O00399	DCTN6_HUMAN
ENSP00000203556	Q9P107	GMIP_HUMAN
ENSP00000337797	Q9HB75	PIDD1_HUMAN
ENSP00000354669	Q8N5J2	MINY1_HUMAN
ENSP00000347244	Q9NZM3	ITSN2_HUMAN
ENSP00000318821	Q96CN9	GCC1_HUMAN
ENSP00000373215	Q9ULU8	CAPS1_HUMAN
ENSP00000377948	Q96P65	QRFPR_HUMAN
ENSP00000300176	O95081	AGFG2_HUMAN
ENSP00000380070	P04406	G3P_HUMAN
ENSP00000360532	Q99459	CDC5L_HUMAN
ENSP00000046087	Q9BS86	ZPBP1_HUMAN
ENSP00000380718	Q9Y232	CDYL_HUMAN
ENSP00000258955	Q9HA92	RSAD1_HUMAN
ENSP00000469035	M0QXB4	M0QXB4_HUMAN
ENSP00000331901	P26641	EF1G_HUMAN
ENSP00000269881	Q96L12	CALR3_HUMAN
ENSP00000244496	Q96EU6	RRP36_HUMAN
ENSP00000367658	Q8TDY3	ACTT2_HUMAN
ENSP00000293831	P60842	IF4A1_HUMAN
ENSP00000219252	P19387	RPB3_HUMAN
ENSP00000258457	Q9BVC5	ASHWN_HUMAN
ENSP00000385000	O00139	KIF2A_HUMAN
ENSP00000219476	P49815	TSC2_HUMAN
ENSP00000463939	J3QQX2	J3QQX2_HUMAN
ENSP00000442736	Q9ULL4	PLXB3_HUMAN
ENSP00000331602	Q05655	KPCD_HUMAN
ENSP00000236709	Q9UNA3	A4GCT_HUMAN
ENSP00000218340	O75695	XRP2_HUMAN
ENSP00000299705	Q9Y3Q3	TMED3_HUMAN
ENSP00000223369	O15498	YKT6_HUMAN
ENSP00000295240	Q8N3I7	BBS5_HUMAN
ENSP00000471457	Q13459	MYO9B_HUMAN
ENSP00000357660	Q8NCR9	CLRN3_HUMAN
ENSP00000310491	Q07960	RHG01_HUMAN
ENSP00000322170	Q8NHR9	PROF4_HUMAN
ENSP00000345656	Q9P0L0	VAPA_HUMAN
ENSP00000239440	Q8WWN8	ARAP3_HUMAN
ENSP00000387875	Q2VIQ3	KIF4B_HUMAN
ENSP00000273375	Q5HYI8	RABL3_HUMAN
ENSP00000302830	Q7L5Y9	MAEA_HUMAN
ENSP00000256858	Q9P260	RELCH_HUMAN
ENSP00000356000	O75051	PLXA2_HUMAN
ENSP00000381339	A8MTJ3	GNAT3_HUMAN
ENSP00000306124	Q02156	KPCE_HUMAN
ENSP00000285208	Q9NRW1	RAB6B_HUMAN
ENSP00000363638	O95372	LYPA2_HUMAN
ENSP00000379287	P63104	1433Z_HUMAN
ENSP00000356920	Q9UNI6	DUS12_HUMAN
ENSP00000243298	Q9NP90	RAB9B_HUMAN
ENSP00000437073	Q92614	MY18A_HUMAN
ENSP00000266037	Q8IZD9	DOCK3_HUMAN
ENSP00000416250	Q14232	EI2BA_HUMAN
ENSP00000003100	Q16850	CP51A_HUMAN
ENSP00000380524	Q8WWF8	CAPSL_HUMAN
ENSP00000290378	P68032	ACTC_HUMAN
ENSP00000361803	Q8WU79	SMAP2_HUMAN
ENSP00000365773	Q9Y617	SERC_HUMAN
ENSP00000362294	A0A075B6H0	A0A075B6H0_HUMAN
ENSP00000480707	Q9P299	COPZ2_HUMAN
ENSP00000270176	Q96KG9	SCYL1_HUMAN
ENSP00000376367	Q92558	WASF1_HUMAN
ENSP00000361264	Q13905	RPGF1_HUMAN
ENSP00000294618	Q96HP0	DOCK6_HUMAN
ENSP00000370695	Q9NV70	EXOC1_HUMAN
ENSP00000423673	Q9P0J0	NDUAD_HUMAN
ENSP00000416750	Q9BYT3	STK33_HUMAN
ENSP00000371267	P27348	1433T_HUMAN
ENSP00000263125	Q04759	KPCT_HUMAN
ENSP00000361275	Q9H4B4	PLK3_HUMAN
ENSP00000009530	P04233	HG2A_HUMAN
ENSP00000369390	O94921	CDK14_HUMAN
ENSP00000366283	O94991	SLIK5_HUMAN
ENSP00000300093	P53350	PLK1_HUMAN
ENSP00000360916	P52735	VAV2_HUMAN
ENSP00000388169	P59998	ARPC4_HUMAN
ENSP00000444561	Q9P0S9	TM14C_HUMAN
ENSP00000393541	Q9BW83	IFT27_HUMAN
ENSP00000296474	Q04912	RON_HUMAN
ENSP00000314733	Q9H0E2	TOLIP_HUMAN
ENSP00000232975	P63316	TNNC1_HUMAN
ENSP00000349305	Q13439	GOGA4_HUMAN
ENSP00000264995	P09001	RM03_HUMAN
ENSP00000481994	F8WCM8	F8WCM8_HUMAN
ENSP00000265062	P51149	RAB7A_HUMAN
ENSP00000262288	Q9HB40	RISC_HUMAN
ENSP00000265431	P05937	CALB1_HUMAN
ENSP00000255194	O00203	AP3B1_HUMAN
ENSP00000229812	Q15208	STK38_HUMAN
ENSP00000263904	O75886	STAM2_HUMAN
ENSP00000340454	P52306	GDS1_HUMAN
ENSP00000223073	Q9NW13	RBM28_HUMAN
ENSP00000313869	Q9BQQ3	GORS1_HUMAN
ENSP00000287878	Q9UGJ0	AAKG2_HUMAN
ENSP00000256460	Q14012	KCC1A_HUMAN
ENSP00000365162	Q9H1R3	MYLK2_HUMAN
ENSP00000222286	O14556	G3PT_HUMAN
ENSP00000326238	Q96KX2	CAZA3_HUMAN
ENSP00000328287	Q5XPI4	RN123_HUMAN
ENSP00000334300	Q9Y615	ACL7A_HUMAN
ENSP00000258886	P48200	IREB2_HUMAN
ENSP00000446830	Q8N4W6	DJC22_HUMAN
ENSP00000428489	Q96KB5	TOPK_HUMAN
ENSP00000378338	Q9Y2X7	GIT1_HUMAN
ENSP00000456206	Q3ZCM7	TBB8_HUMAN
ENSP00000254976	P60880	SNP25_HUMAN
ENSP00000262177	O75190	DNJB6_HUMAN
ENSP00000367806	Q6IPX4	Q6IPX4_HUMAN
ENSP00000368237	Q8NHH9	ATLA2_HUMAN
ENSP00000360676	Q96EK9	KTI12_HUMAN
ENSP00000355966	P51955	NEK2_HUMAN
ENSP00000338777	P59780	AP3S2_HUMAN
ENSP00000203407	P31930	QCR1_HUMAN
ENSP00000296255	P04843	RPN1_HUMAN
ENSP00000386588	A6NKT7	RGPD3_HUMAN
ENSP00000430276	P10911	MCF2_HUMAN
ENSP00000371554	P08294	SODE_HUMAN
ENSP00000280772	Q12955	ANK3_HUMAN
ENSP00000350896	P54760	EPHB4_HUMAN
ENSP00000234313	P08567	PLEK_HUMAN
ENSP00000203630	Q15773	MLF2_HUMAN
ENSP00000326342	Q8IZ81	ELMD2_HUMAN
ENSP00000216133	O95931	CBX7_HUMAN
ENSP00000338127	Q15569	TESK1_HUMAN
ENSP00000239891	Q9Y673	ALG5_HUMAN
ENSP00000319060	A0A2Q3DQE3	A0A2Q3DQE3_HUMAN
ENSP00000363308	Q8NA23	WDR31_HUMAN
ENSP00000009105	Q96NX5	KCC1G_HUMAN
ENSP00000364361	Q9NYL2	M3K20_HUMAN
ENSP00000264028	P48444	COPD_HUMAN
ENSP00000371133	Q9NP66	HM20A_HUMAN
ENSP00000365891	P42768	WASP_HUMAN
ENSP00000393241	P62269	RS18_HUMAN
ENSP00000331849	Q6P161	RM54_HUMAN
ENSP00000346839	P02751	FINC_HUMAN
ENSP00000310722	P00540	MOS_HUMAN
ENSP00000309714	A1X283	SPD2B_HUMAN
ENSP00000267814	Q00796	DHSO_HUMAN
ENSP00000326381	Q14240	IF4A2_HUMAN
ENSP00000361917	Q9P291	ARMX1_HUMAN
ENSP00000307078	P33176	KINH_HUMAN
ENSP00000335153	P07900	HS90A_HUMAN
ENSP00000358071	Q9Y6Y8	S23IP_HUMAN
ENSP00000263265	Q9H4M7	PKHA4_HUMAN
ENSP00000389445	Q14157	UBP2L_HUMAN
ENSP00000320295	Q13509	TBB3_HUMAN
ENSP00000361900	Q15785	TOM34_HUMAN
ENSP00000246069	P60981	DEST_HUMAN
ENSP00000436785	Q8IXU6	S35F2_HUMAN
ENSP00000274710	Q9BQI7	PSD2_HUMAN
ENSP00000397947	Q96JA3	PKHA8_HUMAN
ENSP00000457728	A0A0B4J294	A0A0B4J294_HUMAN
ENSP00000350348	Q14831	GRM7_HUMAN
ENSP00000376293	Q9BZF3	OSBL6_HUMAN
ENSP00000451560	A0A0B4J269	A0A0B4J269_HUMAN
ENSP00000409952	Q8N1B4	VPS52_HUMAN
ENSP00000305071	O14593	RFXK_HUMAN
ENSP00000385886	Q8IV61	GRP3_HUMAN
ENSP00000262498	Q9Y6A4	CFA20_HUMAN
ENSP00000268057	Q96RK4	BBS4_HUMAN
ENSP00000483786	P37235	HPCL1_HUMAN
ENSP00000221138	P62714	PP2AB_HUMAN
ENSP00000354927	Q99759	M3K3_HUMAN
ENSP00000388996	Q9BXS5	AP1M1_HUMAN
ENSP00000262948	P36507	MP2K2_HUMAN
ENSP00000483552	P09958	FURIN_HUMAN
ENSP00000362727	Q8TEH3	DEN1A_HUMAN
ENSP00000256682	P61204	ARF3_HUMAN
ENSP00000445122	P26439	3BHS2_HUMAN
ENSP00000279242	Q13405	RM49_HUMAN
ENSP00000478061	P29966	MARCS_HUMAN
ENSP00000359386	Q3ZAQ7	VMA21_HUMAN
ENSP00000268182	P46940	IQGA1_HUMAN
ENSP00000338019	P25686	DNJB2_HUMAN
ENSP00000426909	P63244	RACK1_HUMAN
ENSP00000314615	Q8N6T3	ARFG1_HUMAN
ENSP00000262225	Q15363	TMED2_HUMAN
ENSP00000234453	Q9HB20	PKHA3_HUMAN
ENSP00000308413	Q9UBS0	KS6B2_HUMAN
ENSP00000419494	Q8N488	RYBP_HUMAN
ENSP00000351333	Q14CB8	RHG19_HUMAN
ENSP00000389351	A0A0C4DG17	A0A0C4DG17_HUMAN
ENSP00000378712	Q1ZYL8	IZUM4_HUMAN
ENSP00000459626	Q9ULH7	MRTFB_HUMAN
ENSP00000360922	O95793	STAU1_HUMAN
ENSP00000300584	Q9UPU7	TBD2B_HUMAN
ENSP00000219255	Q9NPB6	PAR6A_HUMAN
ENSP00000331342	Q6WKZ4	RFIP1_HUMAN
ENSP00000269209	Q9H706	GARE1_HUMAN
ENSP00000368758	Q4LDR2	CTXN3_HUMAN
ENSP00000429323	E7ERK9	E7ERK9_HUMAN
ENSP00000482657	Q99558	M3K14_HUMAN
ENSP00000480332	A0A087WWM0	A0A087WWM0_HUMAN
ENSP00000292614	P52435	RPB11_HUMAN
ENSP00000398803	Q13630	FCL_HUMAN
ENSP00000378313	Q8TBN0	R3GEF_HUMAN
ENSP00000420311	P62829	RL23_HUMAN
ENSP00000369431	Q9H8G2	CAAP1_HUMAN
ENSP00000418695	Q15008	PSMD6_HUMAN
ENSP00000369318	O94955	RHBT3_HUMAN
ENSP00000376792	Q96AJ9	VTI1A_HUMAN
ENSP00000324020	Q9NS87	KIF15_HUMAN
ENSP00000449241	Q99490	AGAP2_HUMAN
ENSP00000408910	Q13561	DCTN2_HUMAN
ENSP00000410833	Q04446	GLGB_HUMAN
ENSP00000389095	Q15438	CYH1_HUMAN
ENSP00000362656	Q92805	GOGA1_HUMAN
ENSP00000296953	Q8IUR6	CRERF_HUMAN
ENSP00000288670	Q96PY5	FMNL2_HUMAN
ENSP00000274364	Q13576	IQGA2_HUMAN
ENSP00000223023	O00401	WASL_HUMAN
ENSP00000381293	P46459	NSF_HUMAN
ENSP00000254950	Q9UN37	VPS4A_HUMAN
ENSP00000384593	Q75VX8	GARE2_HUMAN
ENSP00000381785	Q6YN16	HSDL2_HUMAN
ENSP00000382423	Q13233	M3K1_HUMAN
ENSP00000314030	O60884	DNJA2_HUMAN
ENSP00000359571	Q5JRM2	CX066_HUMAN
ENSP00000380308	Q13409	DC1I2_HUMAN
ENSP00000392147	O00743	PPP6_HUMAN
ENSP00000392330	P51572	BAP31_HUMAN
ENSP00000351015	P21359	NF1_HUMAN
ENSP00000335655	Q8IVF7	FMNL3_HUMAN
ENSP00000361475	P62166	NCS1_HUMAN
ENSP00000257663	Q9H2L4	TMM60_HUMAN
ENSP00000386443	A0A5F9UY30	A0A5F9UY30_HUMAN
ENSP00000281141	O75794	CD123_HUMAN
ENSP00000370013	Q8WV60	PTCD2_HUMAN
ENSP00000480301	Q6DN90	IQEC1_HUMAN
ENSP00000362036	Q9Y3D3	RT16_HUMAN
ENSP00000248437	P68366	TBA4A_HUMAN
ENSP00000261890	P62491	RB11A_HUMAN
ENSP00000373404	Q5T653	RM02_HUMAN
ENSP00000348215	Q5TCZ1	SPD2A_HUMAN
ENSP00000311962	Q9UJY4	GGA2_HUMAN
ENSP00000216274	Q9Y572	RIPK3_HUMAN
ENSP00000475168	O15258	RER1_HUMAN
ENSP00000482543	A0A2Y9D025	A0A2Y9D025_HUMAN
ENSP00000354111	Q9H3Z4	DNJC5_HUMAN
ENSP00000400717	Q14344	GNA13_HUMAN
ENSP00000245932	P50552	VASP_HUMAN
ENSP00000446215	P62826	RAN_HUMAN
ENSP00000268919	Q8N4N8	KIF2B_HUMAN
ENSP00000370419	Q5R3I4	TTC38_HUMAN
ENSP00000306548	Q9BYD1	RM13_HUMAN
ENSP00000306902	Q9BYD3	RM04_HUMAN
ENSP00000314067	Q13177	PAK2_HUMAN
ENSP00000279281	Q9UID3	VPS51_HUMAN
ENSP00000377280	Q9NRD0	FBX8_HUMAN
ENSP00000306637	O14715	RGPD8_HUMAN
ENSP00000357076	P37802	TAGL2_HUMAN
ENSP00000261776	Q08AM6	VAC14_HUMAN
ENSP00000384869	Q8NHS4	CLHC1_HUMAN
ENSP00000479488	P35232	PHB1_HUMAN
ENSP00000378306	P16298	PP2BB_HUMAN
ENSP00000377789	Q8N3V7	SYNPO_HUMAN
ENSP00000360609	P08238	HS90B_HUMAN
ENSP00000285735	P08134	RHOC_HUMAN
ENSP00000282356	Q16566	KCC4_HUMAN
ENSP00000349041	Q7Z6K4	NRARP_HUMAN
ENSP00000401010	B1AK88	B1AK88_HUMAN
ENSP00000229270	P60174	TPIS_HUMAN
ENSP00000418401	Q9Y5M8	SRPRB_HUMAN
ENSP00000378485	P42679	MATK_HUMAN
ENSP00000354791	A0A804CDA6	A0A804CDA6_HUMAN
ENSP00000364864	O15066	KIF3B_HUMAN
ENSP00000245796	Q8NDX1	PSD4_HUMAN
ENSP00000333326	Q9NY65	TBA8_HUMAN
ENSP00000434442	Q8N6H7	ARFG2_HUMAN
ENSP00000317376	P82912	RT11_HUMAN
ENSP00000429283	Q92608	DOCK2_HUMAN
ENSP00000279036	Q969N2	PIGT_HUMAN
ENSP00000249923	P53618	COPB_HUMAN
ENSP00000361057	O15260	SURF4_HUMAN
ENSP00000357452	Q15126	PMVK_HUMAN
ENSP00000387246	Q9Y2U5	M3K2_HUMAN
ENSP00000301332	Q96AC6	KIFC2_HUMAN
ENSP00000332407	Q8WUS8	D42E1_HUMAN
ENSP00000362108	P80188	NGAL_HUMAN
